//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb

蜀小果,#genre#
梨园频道,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ly_4000.m3u8
武术世界,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wssj_4000.m3u8
文物宝库,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wwbk_4000.m3u8
茶频道,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cpd_4000.m3u8
金鹰纪实,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyjsHDH265_4000.m3u8
北京纪实科教,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/bjjs_2000.m3u8
快乐垂钓,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/fyzqklcdHDH265_4000.m3u8
先锋乒羽,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xfpy_4000.m3u8
财富天下,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cftx_4000.m3u8
天元围棋,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/tywq_2000.m3u8
精品导视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jpdsH265_4000.m3u8
精品导视2,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jpdsgq-hkkp_4000.m3u8
川网导视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cwdsHDH264_4000.m3u8
东方财经,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dfcj_4000.m3u8
山东教育,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/sdjy_4000.m3u8
青羊电视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qyzh_4000.m3u8
央广购物,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/yggw_2000.m3u8
崇州,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/czyt_4000.m3u8
大邑,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyytH265_4000.m3u8
都江堰综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/djyzh_4000.m3u8
金牛综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jnyx_2000.m3u8
金堂,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jtzhpd_2000.m3u8
简阳新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwzh_2000.m3u8
龙泉新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lqxw_2000.m3u8
郫都新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pxds1_2000.m3u8
蒲江综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pjxw_4000.m3u8
彭州综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzxwzh_2000.m3u8
青白江综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qbjxwzh_2000.m3u8
邛崃综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qlds1t_2000.m3u8
双流综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/slgq_2000.m3u8
温江新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wjytH264_2000.m3u8
新都综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xdzhpd_2000.m3u8
新津综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjzh_4000.m3u8
绵阳新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/myytH265_4000.m3u8
绵阳科技,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/myetH265_4000.m3u8
安州综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/azgq_2000.m3u8
北川综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/bcxwHD_2000.m3u8
涪城综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/fcgq_2000.m3u8
江油综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwHD_2000.m3u8
平武综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pwgq_4000.m3u8
盐亭综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ytzh_2000.m3u8
梓潼综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ztgq_2000.m3u8
攀枝花新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhytH265_4000.m3u8
攀枝花文旅,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhggpd_2000.m3u8
攀钢新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pgxwzh_2000.m3u8
米易综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/myxwzh_2000.m3u8
盐边综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybtgq_2000.m3u8
仁和新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/rhxwH264_2000.m3u8
广元综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyzhH265_4000.m3u8
广元文化生活,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyggH265_4000.m3u8
朝天综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ctxwzh_2000.m3u8
苍溪综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cxxwgqH265_4000.m3u8
剑阁综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jgxwzhH265_4000.m3u8
利州综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lzxwzh_2000.m3u8
青川综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qcxwzhH265_4000.m3u8
旺苍新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wcxwzhH265_4000.m3u8
昭化综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/zhxwzh_2000.m3u8
古蔺新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/glxwzhgq_2000.m3u8
合江新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hjxw_2000.m3u8
泸县综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lxxwzh_2000.m3u8
纳溪,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxxw_2000.m3u8
叙永综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xyxw_2000.m3u8
德阳新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwgq-HD-_2000.m3u8
德阳文旅,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dygggq-HD-_2000.m3u8
广汉综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ghxwzh_2000.m3u8
旌阳综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwgq-HD-_2000.m3u8
罗江综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ljxwzh_2000.m3u8
绵竹综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/mzxwzh_2000.m3u8
中江新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/zjxwzh_2000.m3u8
宜宾新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybytH264_2000.m3u8
宜宾公共,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybetH264_2000.m3u8
宜宾导视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybds_2000.m3u8
珙县新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxzh_2000.m3u8
江安综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jat_2000.m3u8
南溪综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxt_2000.m3u8
屏山新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/psxwzh_2000.m3u8
兴文综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xwt_2000.m3u8
